date,location,customer_count
2023-01-01,Meama Space • Tbilisi Mall,306
2023-01-01,Meama Space • City Mall,390
2023-01-01,Meama Space • East Point,74
2023-01-01,Meama Collect • Gori,78
2023-01-01,Meama Collect • Beliashvili,250
2023-01-01,Meama Collect • Abashidze,295
2023-01-01,Meama Collect • Rustavi,421
2023-01-01,Meama Collect • Sheni Saxli Jiqia,442
2023-01-01,Meama Collect • Paliashvili Street,391
2023-01-01,Meama Collect • Abashidze Street,384
2023-01-01,Meama Collect • Kartozia Street,331
2023-01-01,Meama Collect • Bukia Garden,471
2023-01-01,Meama Collect • Batumi,337
2023-01-01,Meama Collect • Digomi,347
2023-01-01,Meama Collect • Lisi,318
2023-01-01,Meama Collect • Turtle Lake,319
2023-01-01,Meama Collect • Dedaena,465
2023-01-02,Meama Space • Tbilisi Mall,404
2023-01-02,Meama Space • City Mall,86
2023-01-02,Meama Space • East Point,489
2023-01-02,Meama Collect • Gori,349
2023-01-02,Meama Collect • Beliashvili,199
2023-01-02,Meama Collect • Abashidze,137
2023-01-02,Meama Collect • Rustavi,231
2023-01-02,Meama Collect • Sheni Saxli Jiqia,82
2023-01-02,Meama Collect • Paliashvili Street,141
2023-01-02,Meama Collect • Abashidze Street,483
2023-01-02,Meama Collect • Kartozia Street,494
2023-01-02,Meama Collect • Bukia Garden,344
2023-01-02,Meama Collect • Batumi,161
2023-01-02,Meama Collect • Digomi,477
2023-01-02,Meama Collect • Lisi,71
2023-01-02,Meama Collect • Turtle Lake,209
2023-01-02,Meama Collect • Dedaena,94
2023-01-03,Meama Space • Tbilisi Mall,50
2023-01-03,Meama Space • City Mall,258
2023-01-03,Meama Space • East Point,431
2023-01-03,Meama Collect • Gori,357
2023-01-03,Meama Collect • Beliashvili,243
2023-01-03,Meama Collect • Abashidze,53
2023-01-03,Meama Collect • Rustavi,463
2023-01-03,Meama Collect • Sheni Saxli Jiqia,68
2023-01-03,Meama Collect • Paliashvili Street,267
